Philosopher: 0, Time: 482 ms, picked up fork 0
Philosopher: 0, Time: 482 ms, picked up fork 1
Philosopher: 0, Time: 482 ms, entering eating state. Will eat for 25 ms.
Philosopher: 2, Time: 495 ms, entering thinking state
Philosopher: 2, Time: 506 ms, entering hungry state
Philosopher: 2, Time: 506 ms, picked up fork 2
Philosopher: 2, Time: 506 ms, picked up fork 3
Philosopher: 2, Time: 506 ms, entering eating state. Will eat for 18 ms.
Philosopher: 0, Time: 508 ms, entering thinking state
Philosopher: 0, Time: 519 ms, entering hungry state
Philosopher: 0, Time: 519 ms, picked up fork 0
Philosopher: 0, Time: 519 ms, picked up fork 1
Philosopher: 0, Time: 519 ms, entering eating state. Will eat for 24 ms.
Philosopher: 2, Time: 526 ms, entering thinking state
Philosopher: 2, Time: 538 ms, entering hungry state
Philosopher: 2, Time: 538 ms, picked up fork 2
Philosopher: 2, Time: 538 ms, picked up fork 3
Philosopher: 2, Time: 538 ms, entering eating state. Will eat for 29 ms.
Philosopher: 0, Time: 544 ms, entering thinking state
Philosopher: 0, Time: 555 ms, entering hungry state
Philosopher: 0, Time: 555 ms, picked up fork 0
Philosopher: 0, Time: 555 ms, picked up fork 1
Philosopher: 0, Time: 555 ms, entering eating state. Will eat for 27 ms.
Philosopher: 2, Time: 568 ms, entering thinking state
Philosopher: 3, Time: 569 ms, picked up fork 3
Philosopher: 2, Time: 579 ms, entering hungry state
Philosopher: 2, Time: 579 ms, picked up fork 2
Philosopher: 2, Time: 579 ms, picked up fork 3
Philosopher: 2, Time: 579 ms, entering eating state. Will eat for 29 ms.
Philosopher: 0, Time: 584 ms, entering thinking state
Philosopher: 1, Time: 585 ms, picked up fork 1
Philosopher: 0, Time: 596 ms, entering hungry state
Philosopher: 0, Time: 596 ms, picked up fork 0
Philosopher: 0, Time: 596 ms, picked up fork 1
Philosopher: 0, Time: 596 ms, entering eating state. Will eat for 28 ms.
Philosopher: 2, Time: 611 ms, entering thinking state
Philosopher: 2, Time: 624 ms, entering hungry state
Philosopher: 2, Time: 624 ms, picked up fork 2
Philosopher: 2, Time: 624 ms, picked up fork 3
Philosopher: 2, Time: 624 ms, entering eating state. Will eat for 26 ms.
Philosopher: 0, Time: 626 ms, entering thinking state
Philosopher: 0, Time: 638 ms, entering hungry state
Philosopher: 0, Time: 638 ms, picked up fork 0
Philosopher: 0, Time: 638 ms, picked up fork 1
Philosopher: 0, Time: 638 ms, entering eating state. Will eat for 11 ms.
Philosopher: 0, Time: 650 ms, entering thinking state
Philosopher: 2, Time: 650 ms, entering thinking state
Philosopher: 3, Time: 653 ms, picked up fork 3
Philosopher: 3, Time: 653 ms, picked up fork 0
Philosopher: 3, Time: 653 ms, entering eating state. Will eat for 23 ms.
Philosopher: 0, Time: 660 ms, entering hungry state
Philosopher: 2, Time: 661 ms, entering hungry state
Philosopher: 2, Time: 661 ms, picked up fork 2
Philosopher: 3, Time: 677 ms, entering thinking state
Philosopher: 1, Time: 679 ms, picked up fork 1
Philosopher: 1, Time: 679 ms, picked up fork 2
Philosopher: 1, Time: 679 ms, entering eating state. Will eat for 37 ms.
Philosopher: 3, Time: 689 ms, entering hungry state
Philosopher: 3, Time: 689 ms, picked up fork 3
Philosopher: 3, Time: 689 ms, picked up fork 0
Philosopher: 3, Time: 689 ms, entering eating state. Will eat for 25 ms.
Philosopher: 1, Time: 717 ms, entering thinking state
Philosopher: 3, Time: 717 ms, entering thinking state
Philosopher: 1, Time: 729 ms, entering hungry state
Philosopher: 3, Time: 729 ms, entering hungry state
Philosopher: 1, Time: 729 ms, picked up fork 1
Philosopher: 3, Time: 729 ms, picked up fork 3
Philosopher: 1, Time: 729 ms, picked up fork 2
Philosopher: 3, Time: 729 ms, picked up fork 0
Philosopher: 1, Time: 729 ms, entering eating state. Will eat for 11 ms.
Philosopher: 3, Time: 729 ms, entering eating state. Will eat for 24 ms.
Philosopher: 1, Time: 742 ms, entering thinking state
Philosopher: 2, Time: 751 ms, picked up fork 2
Philosopher: 1, Time: 754 ms, entering hungry state
Philosopher: 3, Time: 754 ms, entering thinking state
Philosopher: 1, Time: 754 ms, picked up fork 1
Philosopher: 1, Time: 754 ms, picked up fork 2
Philosopher: 1, Time: 754 ms, entering eating state. Will eat for 34 ms.
Philosopher: 3, Time: 766 ms, entering hungry state
Philosopher: 3, Time: 766 ms, picked up fork 3
Philosopher: 3, Time: 766 ms, picked up fork 0
Philosopher: 3, Time: 766 ms, entering eating state. Will eat for 14 ms.
Philosopher: 3, Time: 783 ms, entering thinking state
Philosopher: 0, Time: 787 ms, picked up fork 0
Philosopher: 1, Time: 788 ms, entering thinking state
Philosopher: 3, Time: 795 ms, entering hungry state
Philosopher: 3, Time: 795 ms, picked up fork 3
Philosopher: 3, Time: 795 ms, picked up fork 0
Philosopher: 3, Time: 795 ms, entering eating state. Will eat for 39 ms.
Philosopher: 1, Time: 801 ms, entering hungry state
Philosopher: 1, Time: 801 ms, picked up fork 1
Philosopher: 1, Time: 801 ms, picked up fork 2
Philosopher: 1, Time: 801 ms, entering eating state. Will eat for 10 ms.
Philosopher: 1, Time: 813 ms, entering thinking state
Philosopher: 1, Time: 824 ms, entering hungry state
Philosopher: 1, Time: 824 ms, picked up fork 1
Philosopher: 1, Time: 824 ms, picked up fork 2
Philosopher: 1, Time: 824 ms, entering eating state. Will eat for 24 ms.
Philosopher: 3, Time: 835 ms, entering thinking state
Philosopher: 3, Time: 846 ms, entering hungry state
Philosopher: 3, Time: 846 ms, picked up fork 3
Philosopher: 3, Time: 846 ms, picked up fork 0
Philosopher: 3, Time: 846 ms, entering eating state. Will eat for 10 ms.
Philosopher: 1, Time: 849 ms, entering thinking state
Philosopher: 2, Time: 852 ms, picked up fork 2
Philosopher: 3, Time: 856 ms, entering thinking state
Philosopher: 1, Time: 862 ms, entering hungry state
Philosopher: 1, Time: 862 ms, picked up fork 1
Philosopher: 1, Time: 862 ms, picked up fork 2
Philosopher: 1, Time: 862 ms, entering eating state. Will eat for 38 ms.
Philosopher: 3, Time: 867 ms, entering hungry state
Philosopher: 3, Time: 867 ms, picked up fork 3
Philosopher: 3, Time: 867 ms, picked up fork 0
Philosopher: 3, Time: 867 ms, entering eating state. Will eat for 21 ms.
Philosopher: 3, Time: 890 ms, entering thinking state
Philosopher: 3, Time: 901 ms, entering hungry state
Philosopher: 3, Time: 901 ms, picked up fork 3
Philosopher: 3, Time: 901 ms, picked up fork 0
Philosopher: 3, Time: 901 ms, entering eating state. Will eat for 10 ms.
Philosopher: 1, Time: 902 ms, entering thinking state
Philosopher: 3, Time: 911 ms, entering thinking state
Philosopher: 1, Time: 912 ms, entering hungry state
Philosopher: 1, Time: 912 ms, picked up fork 1
Philosopher: 1, Time: 912 ms, picked up fork 2
Philosopher: 1, Time: 912 ms, entering eating state. Will eat for 18 ms.
Philosopher: 3, Time: 922 ms, entering hungry state
Philosopher: 3, Time: 922 ms, picked up fork 3
Philosopher: 3, Time: 922 ms, picked up fork 0
Philosopher: 3, Time: 922 ms, entering eating state. Will eat for 37 ms.
Philosopher: 1, Time: 931 ms, entering thinking state
Philosopher: 1, Time: 941 ms, entering hungry state
Philosopher: 1, Time: 941 ms, picked up fork 1
Philosopher: 1, Time: 941 ms, picked up fork 2
Philosopher: 1, Time: 941 ms, entering eating state. Will eat for 18 ms.
Philosopher: 3, Time: 960 ms, entering thinking state
Philosopher: 1, Time: 960 ms, entering thinking state
Philosopher: 3, Time: 971 ms, entering hungry state
Philosopher: 1, Time: 971 ms, entering hungry state
Philosopher: 3, Time: 971 ms, picked up fork 3
Philosopher: 1, Time: 971 ms, picked up fork 1
Philosopher: 3, Time: 971 ms, picked up fork 0
Philosopher: 1, Time: 971 ms, picked up fork 2
Philosopher: 3, Time: 971 ms, entering eating state. Will eat for 15 ms.
Philosopher: 1, Time: 971 ms, entering eating state. Will eat for 28 ms.
Philosopher: 3, Time: 987 ms, entering thinking state
Philosopher: 3, Time: 997 ms, entering hungry state
Philosopher: 3, Time: 997 ms, picked up fork 3
Philosopher: 3, Time: 997 ms, picked up fork 0
Philosopher: 3, Time: 997 ms, entering eating state. Will eat for 20 ms.
Philosopher: 1, Time: 1000 ms, entering thinking state
Philosopher: 1, Time: 1011 ms, entering hungry state
Philosopher: 1, Time: 1011 ms, picked up fork 1
Philosopher: 1, Time: 1011 ms, picked up fork 2
Philosopher: 1, Time: 1011 ms, entering eating state. Will eat for 20 ms.
Philosopher: 3, Time: 1018 ms, entering thinking state
Philosopher: 3, Time: 1029 ms, entering hungry state
Philosopher: 3, Time: 1029 ms, picked up fork 3
Philosopher: 3, Time: 1029 ms, picked up fork 0
Philosopher: 3, Time: 1029 ms, entering eating state. Will eat for 17 ms.
Philosopher: 1, Time: 1032 ms, entering thinking state
Philosopher: 1, Time: 1043 ms, entering hungry state
Philosopher: 1, Time: 1043 ms, picked up fork 1
Philosopher: 1, Time: 1043 ms, picked up fork 2
Philosopher: 1, Time: 1043 ms, entering eating state. Will eat for 23 ms.
Philosopher: 3, Time: 1047 ms, entering thinking state
Philosopher: 3, Time: 1058 ms, entering hungry state
Philosopher: 3, Time: 1058 ms, picked up fork 3
Philosopher: 3, Time: 1058 ms, picked up fork 0
Philosopher: 3, Time: 1058 ms, entering eating state. Will eat for 26 ms.
Philosopher: 1, Time: 1066 ms, entering thinking state
Philosopher: 1, Time: 1077 ms, entering hungry state
Philosopher: 1, Time: 1077 ms, picked up fork 1
Philosopher: 1, Time: 1077 ms, picked up fork 2
Philosopher: 1, Time: 1077 ms, entering eating state. Will eat for 27 ms.
Philosopher: 3, Time: 1085 ms, entering thinking state
Philosopher: 3, Time: 1096 ms, entering hungry state
Philosopher: 3, Time: 1096 ms, picked up fork 3
Philosopher: 3, Time: 1096 ms, picked up fork 0
Philosopher: 3, Time: 1096 ms, entering eating state. Will eat for 30 ms.
Philosopher: 1, Time: 1105 ms, entering thinking state
Philosopher: 1, Time: 1118 ms, entering hungry state
Philosopher: 1, Time: 1118 ms, picked up fork 1
Philosopher: 1, Time: 1118 ms, picked up fork 2
Philosopher: 1, Time: 1118 ms, entering eating state. Will eat for 31 ms.
Philosopher: 3, Time: 1130 ms, entering thinking state
Philosopher: 3, Time: 1144 ms, entering hungry state
Philosopher: 3, Time: 1144 ms, picked up fork 3
Philosopher: 3, Time: 1144 ms, picked up fork 0
Philosopher: 3, Time: 1144 ms, entering eating state. Will eat for 11 ms.
Philosopher: 1, Time: 1151 ms, entering thinking state
Philosopher: 3, Time: 1156 ms, entering thinking state
Philosopher: 1, Time: 1163 ms, entering hungry state
Philosopher: 1, Time: 1163 ms, picked up fork 1
Philosopher: 1, Time: 1163 ms, picked up fork 2
Philosopher: 1, Time: 1163 ms, entering eating state. Will eat for 20 ms.
Philosopher: 3, Time: 1167 ms, entering hungry state
Philosopher: 3, Time: 1167 ms, picked up fork 3
Philosopher: 3, Time: 1167 ms, picked up fork 0
Philosopher: 3, Time: 1167 ms, entering eating state. Will eat for 16 ms.
Philosopher: 3, Time: 1184 ms, entering thinking state
Philosopher: 1, Time: 1184 ms, entering thinking state
Philosopher: 0, Time: 1192 ms, picked up fork 0
Philosopher: 0, Time: 1192 ms, picked up fork 1
Philosopher: 0, Time: 1192 ms, entering eating state. Will eat for 18 ms.
Philosopher: 1, Time: 1196 ms, entering hungry state
Philosopher: 3, Time: 1196 ms, entering hungry state
Philosopher: 3, Time: 1196 ms, picked up fork 3
Philosopher: 0, Time: 1211 ms, entering thinking state
Philosopher: 0, Time: 1222 ms, entering hungry state
Philosopher: 0, Time: 1222 ms, picked up fork 0
Philosopher: 0, Time: 1222 ms, picked up fork 1
Philosopher: 0, Time: 1222 ms, entering eating state. Will eat for 10 ms.
Philosopher: 0, Time: 1234 ms, entering thinking state
Philosopher: 0, Time: 1246 ms, entering hungry state
Philosopher: 0, Time: 1246 ms, picked up fork 0
Philosopher: 0, Time: 1246 ms, picked up fork 1
Philosopher: 0, Time: 1246 ms, entering eating state. Will eat for 16 ms.
Philosopher: 0, Time: 1264 ms, entering thinking state
Philosopher: 2, Time: 1264 ms, picked up fork 2
Philosopher: 2, Time: 1264 ms, picked up fork 3
Philosopher: 2, Time: 1264 ms, entering eating state. Will eat for 18 ms.
Philosopher: 0, Time: 1276 ms, entering hungry state
Philosopher: 0, Time: 1276 ms, picked up fork 0
Philosopher: 0, Time: 1276 ms, picked up fork 1
Philosopher: 0, Time: 1276 ms, entering eating state. Will eat for 32 ms.
Philosopher: 2, Time: 1285 ms, entering thinking state
Philosopher: 3, Time: 1288 ms, picked up fork 3
Philosopher: 2, Time: 1295 ms, entering hungry state
Philosopher: 2, Time: 1295 ms, picked up fork 2
Philosopher: 2, Time: 1295 ms, picked up fork 3
Philosopher: 2, Time: 1295 ms, entering eating state. Will eat for 20 ms.
Philosopher: 0, Time: 1308 ms, entering thinking state
Philosopher: 2, Time: 1316 ms, entering thinking state
Philosopher: 0, Time: 1318 ms, entering hungry state
